<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<DATETIME>
8940.18,8952.09,8919.51,8927.32,0,0,2024-10-31 14:00:00
8926.65,8943.37,8921.9,8922.31,0,0,2024-10-31 15:00:00
8917.78,8922.75,8848.73,8863.88,0,0,2024-10-31 16:00:00
8888.51,8958.48,8888.51,8924.4,0,0,2024-11-01 09:00:00
8928.33,8980.99,8927.47,8974.97,0,0,2024-11-01 10:00:00
8975.64,8975.64,8851.72,8887.7,0,0,2024-11-01 11:00:00
8888.44,8901.76,8873.11,8897.16,0,0,2024-11-01 12:00:00
8896.2,8918.0,8873.18,8899.55,0,0,2024-11-01 13:00:00
8895.34,8930.96,8882.9,8913.64,0,0,2024-11-01 14:00:00
8909.56,8928.9,8876.74,8881.25,0,0,2024-11-01 15:00:00
8877.83,8904.0,8861.16,8885.0,0,0,2024-11-01 16:00:00
8862.49,8862.49,8784.84,8794.24,0,0,2024-11-04 09:00:00
8790.47,8804.81,8761.79,8764.57,0,0,2024-11-04 10:00:00
8765.89,8770.41,8748.63,8761.84,0,0,2024-11-04 11:00:00
8762.18,8774.24,8731.64,8731.64,0,0,2024-11-04 12:00:00
8730.96,8738.42,8664.05,8669.99,0,0,2024-11-04 13:00:00
8671.59,8691.88,8660.13,8676.04,0,0,2024-11-04 14:00:00
8676.54,8703.53,8662.79,8672.11,0,0,2024-11-04 15:00:00
8678.95,8699.41,8611.16,8663.88,0,0,2024-11-04 16:00:00
8714.65,8728.16,8573.27,8577.62,0,0,2024-11-05 09:00:00
8576.51,8655.73,8567.87,8655.73,0,0,2024-11-05 10:00:00
8656.55,8688.27,8642.06,8668.75,0,0,2024-11-05 11:00:00
8668.58,8669.09,8609.68,8628.77,0,0,2024-11-05 12:00:00
8629.2,8638.8,8613.76,8623.71,0,0,2024-11-05 13:00:00
8622.85,8646.72,8618.04,8627.48,0,0,2024-11-05 14:00:00
8627.61,8628.93,8594.01,8622.92,0,0,2024-11-05 15:00:00
8621.16,8659.78,8610.14,8618.57,0,0,2024-11-05 16:00:00
8647.94,8681.44,8589.25,8678.23,0,0,2024-11-06 09:00:00
8679.98,8827.46,8677.0,8827.46,0,0,2024-11-06 10:00:00
8829.58,8874.87,8826.41,8873.45,0,0,2024-11-06 11:00:00
8879.89,8888.53,8851.45,8860.22,0,0,2024-11-06 12:00:00
8866.86,8868.29,8813.51,8817.7,0,0,2024-11-06 13:00:00
8815.57,8886.89,8815.57,8876.36,0,0,2024-11-06 14:00:00
8875.13,8915.39,8874.84,8886.57,0,0,2024-11-06 15:00:00
8886.55,8899.63,8862.32,8862.32,0,0,2024-11-06 16:00:00
8873.32,8901.87,8827.61,8872.78,0,0,2024-11-07 09:00:00
8874.48,8882.05,8848.9,8874.62,0,0,2024-11-07 10:00:00
8877.13,8885.35,8845.04,8857.23,0,0,2024-11-07 11:00:00
8856.22,8866.64,8847.99,8859.85,0,0,2024-11-07 12:00:00
8857.95,8876.56,8850.21,8866.29,0,0,2024-11-07 13:00:00
8864.6,8872.45,8826.05,8838.95,0,0,2024-11-07 14:00:00
8840.54,8857.33,8802.19,8820.34,0,0,2024-11-07 15:00:00
8820.48,8946.13,8811.9,8946.13,0,0,2024-11-07 16:00:00
8939.4,8973.14,8928.76,8965.82,0,0,2024-11-08 09:00:00
8969.77,9124.0,8969.62,9087.95,0,0,2024-11-08 10:00:00
9087.62,9147.3,9087.62,9116.51,0,0,2024-11-08 11:00:00
9115.68,9125.8,9082.0,9094.76,0,0,2024-11-08 12:00:00
9092.73,9154.62,9088.96,9147.53,0,0,2024-11-08 13:00:00
9144.36,9195.78,9140.16,9173.91,0,0,2024-11-08 14:00:00
9172.71,9178.68,9143.66,9169.19,0,0,2024-11-08 15:00:00
9167.07,9193.0,9151.48,9184.82,0,0,2024-11-08 16:00:00
9184.82,9287.08,9184.82,9252.62,0,0,2024-11-11 09:00:00
9253.81,9256.27,9224.88,9244.72,0,0,2024-11-11 10:00:00
9244.32,9284.9,9244.32,9264.88,0,0,2024-11-11 11:00:00
9265.45,9275.49,9208.3,9227.57,0,0,2024-11-11 12:00:00
9227.78,9268.7,9220.91,9256.51,0,0,2024-11-11 13:00:00
9253.94,9276.38,9225.93,9243.01,0,0,2024-11-11 14:00:00
9243.37,9318.41,9243.37,9318.41,0,0,2024-11-11 15:00:00
9320.17,9326.18,9238.77,9276.78,0,0,2024-11-11 16:00:00
9253.94,9268.04,9208.42,9256.64,0,0,2024-11-12 09:00:00
9257.28,9261.13,9229.64,9236.37,0,0,2024-11-12 10:00:00
9235.99,9288.37,9233.55,9258.64,0,0,2024-11-12 11:00:00
9257.75,9258.84,9209.79,9213.6,0,0,2024-11-12 12:00:00
9211.24,9231.68,9191.31,9205.5,0,0,2024-11-12 13:00:00
9204.55,9237.87,9202.38,9221.59,0,0,2024-11-12 14:00:00
9220.21,9277.92,9218.73,9255.12,0,0,2024-11-12 15:00:00
9255.68,9257.54,9222.89,9226.86,0,0,2024-11-12 16:00:00
9196.02,9197.77,9133.55,9134.68,0,0,2024-11-13 09:00:00
9130.47,9162.21,9128.66,9159.48,0,0,2024-11-13 10:00:00
9159.02,9161.79,9139.86,9148.65,0,0,2024-11-13 11:00:00
9147.77,9199.37,9144.79,9197.81,0,0,2024-11-13 12:00:00
9202.7,9257.62,9197.02,9250.97,0,0,2024-11-13 13:00:00
9253.29,9320.78,9253.29,9288.47,0,0,2024-11-13 14:00:00
9289.71,9413.52,9282.66,9397.88,0,0,2024-11-13 15:00:00
9395.77,9400.85,9288.09,9300.3,0,0,2024-11-13 16:00:00
9354.28,9416.6,9345.4,9405.74,0,0,2024-11-14 09:00:00
9406.63,9414.02,9350.11,9369.47,0,0,2024-11-14 10:00:00
9369.62,9395.91,9353.34,9365.71,0,0,2024-11-14 11:00:00
9365.8,9396.93,9356.99,9386.19,0,0,2024-11-14 12:00:00
