<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NZ50,60,20240617,060000,11711.71,11714.8,11701.28,11708.36,0,0
^NZ50,60,20240617,070000,11706.59,11716.53,11690.09,11698.51,0,0
^NZ50,60,20240618,010000,11705.19,11740.91,11701.9,11737.91,0,0
^NZ50,60,20240618,020000,11735.35,11770.15,11706.37,11754.76,0,0
^NZ50,60,20240618,030000,11760.65,11834.69,11760.65,11829,0,0
^NZ50,60,20240618,040000,11824.71,11827.64,11774.24,11774.3,0,0
^NZ50,60,20240618,050000,11772.25,11783.62,11754.4,11754.4,0,0
^NZ50,60,20240618,060000,11756.62,11776.7,11751.97,11760.76,0,0
^NZ50,60,20240618,070000,11758.24,11767.4,11728.91,11767.4,0,0
^NZ50,60,20240619,010000,11720.81,11720.81,11688.61,11700.93,0,0
^NZ50,60,20240619,020000,11706.47,11732.1,11693.66,11732.1,0,0
^NZ50,60,20240619,030000,11733.88,11745.39,11722.32,11728.41,0,0
^NZ50,60,20240619,040000,11726.74,11728.94,11681.48,11690.12,0,0
^NZ50,60,20240619,050000,11684.41,11702.33,11684.41,11688.95,0,0
^NZ50,60,20240619,060000,11691.14,11698.71,11672.7,11672.7,0,0
^NZ50,60,20240619,070000,11670.92,11690.17,11659.48,11671.19,0,0
^NZ50,60,20240620,010000,11656.97,11676.51,11654.43,11667.47,0,0
^NZ50,60,20240620,020000,11667.47,11685.86,11662.06,11677.67,0,0
^NZ50,60,20240620,030000,11689.07,11758.52,11689.07,11744.04,0,0
^NZ50,60,20240620,040000,11741.9,11744.32,11707.65,11727.22,0,0
